"ID","USERNAME","EMAIL","PASSWORD","POINTS"
"244","aNTh0ny","aNTh0ny144647@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"344","antsie","antsie265785@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"350","abdul18","abdul18606789@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"371","alejolas","alejolas72843@aol.com","rUrT5pc7fiLUmKtrMFP2egwv3gRuVrPzC/scKhnHi/U ","0"
"392","ace-in-the-hole","ace-in-the-hole59831@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"43","asksam","asksam60375@aol.com","6Fwv/lPqQ8gzzRipsqrMgzLqBKHBA8phEXgwqnO1BJQ ","0"
"84","anime_fan_800","anime_fan_80029393@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"106","aimeetron","aimeetron340650@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"120","acsixma","acsixma1325185@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"136","acr429","acr42997089@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"139","adi7639","adi7639445729@aol.com","E4uAedkq+nBCUUea6wxoAfq83GOVvQrYYvDIWRIH/rE ","0"
"157","ahmi_chan","ahmi_chan490057@aol.com","+O4jYteR3LPhAdWFY5xZ8JNzqEQS++rR4XVKGohOKCg ","0"
"181","aak88","aak88346935@aol.com","r4j6qkUyAvNHKOnOz0TcOzokj1k7MeY0q9prXb/DVew ","0"
"803","aherosend","aherosend2946165@aol.com","7LFFztWMJjDpRL0vFUCVGfqY12JiQipG9wmplatSWRQ ","0"
"812","achmedd","achmedd128745@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"818","arsanii","arsanii116491@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"832","amstrak","amstrak366419@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"847","ambivalentideal","ambivalentideal226192@aol.com","ey/FJFYaodh6y4eVxb8UeQ7UJmtCALCs8hZcADmuR0U ","0"
"856","adamsky430","adamsky4305584407@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"915","aspiringwriter","aspiringwriter257685@aol.com","gAscgPEkq1qyzHKjjN7gSXiw/MZEUsVlU2TXga/1Snw ","0"
"920","angelicax","angelicax123009@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"923","akajayjay1","akajayjay15451527@aol.com","0mwkG/APyoLveCVNeM/FbHjYrYToNM775EnQehDo/Ac ","0"
"398","annann12","annann1271877@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"407","alysael","alysael229122@aol.com","/epScLkNKL1EAEXw9SZIO/AUNR/gl5hOo46pbBkvyWg ","0"
"457","asukai_kun","asukai_kun277826@aol.com","xBs29e1MdYdfVQQ2s6fw2qr680OkpQ599O5Jjr/TPCU ","0"
"461","amcsi","amcsi36666@aol.com","laRUuXgI1s9+wYteSN5Hub0cykA/Ra4fPpQ25CbcZPk ","0"
"462","aQrka","aQrka161058@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"614","aarongb","aarongb5668695@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
"681","animEavaricE","animEavaricE276886@aol.com","xGaGopsuYA3wVEBaelbP/JqvVZ8U5G8SADCZ7af+ar0 ","0"
"710","alicebyundesu","alicebyundesu1441429@aol.com"," XohImNooBHFR0OVvjcYpJ3NgPQ1qq73WKhHvch0VQtg","0"
